sl_no,state,branch_code
1,Delhi,691
2,Haryana Punjab and Chandigarh,628
3,Himachal Pradesh,718
4,Jammu and Kashmir,2295
5,Uttarakhand,630
6,Gujarat Dadar and Nagar Haveli and Daman & Diu,1355
7,Madhya Pradesh,1308
8,Chhattisgarh,461
9,Rajasthan,656
10,Maharashtra,300
11,Goa and Lakshadweep,509
12,Uttar Pradesh,125
13,Odisha,41
14,West Bengal,1
15,Bihar,152
16,Jharkhand,167
17,Sikkim,232
18,Arunachal Pradesh,6091
19,Nagaland,214
20,Assam,78
21,Manipur,92
22,Meghalaya,181
23,Mizoram,1539
24,Tripura,2
25,Andhra Pradesh,952
26,Telangana,847
27,Tamil Nadu and Puducherry,800
28,Karnataka,813
29,Kerala,941
